timestamp,time_ms_post,time_ms_del,response_code_post,response_code_del
1786632450.994962,185.27651700060233,62.813606000418076,200,200
1786632476.1629326,92.60530300161918,51.9726009988517,200,200
1786632501.3098764,41.6756010017707,80.00610299859545,200,200
1786632526.4506848,69.21150099879014,46.07270099950256,200,200
1786632551.578552,56.796700999257155,45.64060100165079,200,200
1786632576.7077942,59.627601000102004,45.86910099897068,200,200
1786632601.8714705,43.87820099873352,94.59960099775344,200,200
1786632627.008409,68.72909999947296,42.81550000087009,200,200
1786632652.1821496,69.67370100028347,78.86100100222393,200,200
1786632677.3154283,64.23800099946675,44.90850100046373,200,200
1786632702.4655485,58.36509999789996,66.36129899925436,200,200
1786632727.5976,59.810236998600885,46.99320799772977,200,200
1786632752.7114012,43.05269199903705,45.61569199722726,200,200
1786632777.83283,52.066801999899326,43.88560200095526,200,200
1786632803.0187027,49.98129999876255,110.5855000023439,200,200
1786632828.1917586,80.89739500064752,66.92979599756654,200,200
1786632853.329902,43.65649900137214,69.32079800026258,200,200
1786632878.4775686,51.52899899985641,70.94979899920872,200,200
1786632903.6624699,83.39620399783598,76.1613029972068,200,200
1786632928.7797298,53.925799002172425,48.777198000607314,200,200
1786632953.927528,70.92890300191357,51.360302000830416,200,200
1786632979.023175,51.431094001600286,41.0279960015032,200,200
1786633004.1900861,49.5599019996007,94.19630499905907,200,200
1786633029.3230548,44.647005997831,63.01170699953218,200,200
