timestamp,iteration_ms
1786705011.4154625,81.89855900002385
1786705011.5235212,108.01441599994632
1786705011.6348794,111.31249799996112
1786705011.7388513,103.92696799999612
1786705011.817492,78.59944100005123
1786705011.8955119,77.97857299999578
1786705011.97417,78.61234799997874
1786705012.062466,88.24785299998439
1786705012.2001092,137.59246600000097
1786705012.3121998,112.04058900000291
1786705012.3946595,82.418113000017
1786705012.4742794,79.5788079999511
1786705012.5620975,87.77540999994926
1786705012.675141,112.9984560000139
1786705012.7923732,117.06073800007744
1786705012.870901,78.4766630000604
1786705012.950559,79.60980799998651
1786705013.0287561,78.14851600005568
1786705013.1065583,77.75673999992705
1786705013.2129648,106.35723699999744
1786705013.31979,106.77282799997556
1786705013.3989346,78.90799500000867
1786705013.4779072,78.71860700004163
1786705013.5569637,78.74960699996336
1786705013.6353545,78.34557099999984
1786705013.7298045,94.40475800010972
1786705013.8080008,78.15442399999029
1786705013.8875525,79.51021599990327
1786705013.9664989,78.86056999996072
1786705014.0453136,78.72036699995988
1786705014.1246786,79.27729100003944
1786705014.2044072,79.46149299993976
1786705014.2834957,78.84858800002803
1786705014.362699,78.9387730000044
1786705014.4423578,79.61567799998193
1786705014.5209563,78.47784900002353
1786705014.600619,79.57201199997144
1786705014.6782591,77.36457400005747
1786705014.7568333,78.4838109999555
1786705014.8346884,77.80966600000738
1786705014.913412,78.62853300002826
1786705014.9931033,79.43508699997892
1786705015.0784364,85.21916000006513
1786705015.159182,80.70226799998181
1786705015.2396786,80.23923199993988
1786705015.3332875,93.44120700006897
1786705015.4324176,99.03696599997147
1786705015.5276017,95.13760799995907
1786705015.6063066,78.66412600003514
1786705015.6850276,78.6402740000085
1786705015.7637079,78.6376260000452
1786705015.8438065,80.05454800002099
1786705015.9235656,79.6746969999731
1786705016.0028098,79.20010600003025
1786705016.0820081,79.10258799995518
1786705016.1611898,79.09071700009918
1786705016.2410717,79.7944370000323
1786705016.3197794,78.66307099993719
1786705016.3980637,78.2342749999998
1786705016.4848092,86.65943300002255
1786705016.5625448,77.69266700006483
1786705016.643051,80.46256399995855
1786705016.7208517,77.75759200001175
1786705016.799458,78.55531200004862
