timestamp,detection_in_ms,alignment_in_ms,embedding_in_ms,comparison_in_ms,total_in_ms
1786477145.3958943,85.42242299881764,11.254190001636744,49.45730300096329,60.508418995596,206.64233499701368
1786477145.5763166,86.37967899994692,6.586370000150055,24.768058996414766,58.59007300023222,176.32418099674396
1786477145.759037,82.45794999675127,7.709459001489449,24.558559998695273,61.59450900304364,176.32047799997963
1786477145.9331207,80.87965800223174,7.820273996912874,23.876487000961788,59.2331829975592,171.8096019976656
1786477146.1103969,81.57667499472154,6.956627999898046,23.601173001225106,58.79225700482493,170.92673300066963
1786477146.308749,87.64274900022428,5.771131996880285,40.622235006594565,61.55230599688366,195.5884220005828
1786477146.4873614,79.0883660010877,6.2937780021457,25.234556997020263,58.789610004168935,169.4063110044226
1786477146.6762137,90.3345190017717,2.7102520034532063,26.43429399904562,59.11603500135243,178.59510000562295
1786477146.8671966,83.15755800140323,2.6019930010079406,25.946424997528084,77.08294600161025,188.7889220015495
1786477147.0447612,77.00603799457895,2.7950850053457543,27.908919997571502,59.2772559975856,166.9872989950818
1786477147.2344294,91.65232899977127,2.629882001201622,32.309758993505966,60.231734001717996,186.82370399619685
1786477147.5001953,95.84570599690778,5.910482999752276,42.614489000698086,116.91042299935361,261.28110099671176
1786477147.6944053,79.08766199398087,3.3983790053753182,24.695132997294422,79.99832600035006,187.17949999700068
1786477147.8678255,80.93641600135015,3.104028000961989,28.178271000797395,58.60292400029721,170.82163900340674
1786477148.0609212,91.46255200175801,5.775169003754854,29.887487995438278,58.62301700108219,185.74822600203333
1786477148.2574973,82.37048499722732,2.6689180012908764,27.922827001020778,73.2981600012863,186.26039000082528
1786477148.4633498,111.65984500257764,2.8923989957547747,28.470270000980236,58.89018200105056,201.9126960003632
1786477148.679202,92.22530900296988,3.1411579984705895,55.73587599792518,62.607542000478134,213.70988499984378
1786477148.8688238,88.00515500479378,3.1509170003118925,36.92165300162742,59.15092199575156,187.22864700248465
1786477149.0652175,81.61815399944317,4.452135995961726,23.417655000230297,77.99701600015396,187.48496099578915
1786477149.2405615,77.9643860005308,2.9379180050455034,29.736283999227453,58.549497996864375,169.18808600166813
1786477149.4664774,98.81145600229502,2.511270002287347,57.696777999808546,63.27137299376773,222.29087699815864
1786477149.7618668,172.40413300169166,6.441814999561757,50.492964997829404,58.6129980001715,287.9519109992543
1786477149.9592674,81.38120999501552,3.749119001440704,25.96905400423566,83.30653799930587,194.40592099999776
1786477150.309814,134.10902000032365,6.189815001562238,134.9975179982721,71.87734699982684,347.1736999999848
1786477150.5236216,80.68556299986085,7.903402998636011,30.412319996685255,90.46073799981968,209.4620239950018
1786477150.7735271,110.57503199845087,4.548376004095189,52.76164400129346,77.51677600026596,245.40182800410548
1786477150.957123,79.11728999897605,7.339682000747416,32.68068400211632,58.584812002663966,177.72246800450375
1786477151.173069,87.31434000219451,7.101349998265505,57.85559200012358,58.466293005039915,210.7375750056235
1786477151.3733618,83.7539799977094,3.687507996801287,28.156177002529148,77.03612899786094,192.63379399490077
1786477151.5630262,78.13862599869026,3.3705460009514354,39.07453500141855,62.58074400102487,183.16445100208512
1786477151.7860577,91.75197500007926,8.232643005612772,55.507154000224546,64.955515001202,220.44728700711858
1786477152.020622,116.9305310031632,2.593029996205587,51.86105300526833,58.64901499444386,230.03362899908097
1786477152.2146308,82.7828710025642,3.51410099392524,26.290405003237538,78.34149400150636,190.92887100123335
1786477152.3866744,80.98389400402084,3.351082996232435,26.451701000041794,58.82721800298896,169.61389600328403
1786477152.6132011,95.8964060046128,8.240568997280207,59.02990300091915,60.26871399808442,223.43559200089658
1786477152.807963,93.14715499931481,3.5767489971476607,27.37382800114574,61.98567200044636,186.08340399805456
1786477152.9815395,77.99142199655762,3.4845080008381046,28.75158400274813,58.74143999972148,168.96895399986533
1786477153.170073,96.32860899728257,2.8263990025152452,28.748119999363553,58.72658800217323,186.6297160013346
1786477153.3735788,82.84073999675456,2.8490100012277253,46.36367999773938,63.95916600013152,196.0125959958532
1786477153.5542219,81.35968900023727,2.9745469946647063,26.277887001924682,65.25034699734533,175.862469994172
1786477153.7432208,95.66870300477603,3.0587500004912727,25.997703000030015,60.258343000896275,184.9834990061936
1786477153.9581337,81.93570600269595,3.0240289997891523,58.61462499888148,68.37835699843708,211.95271699980367
1786477154.1480966,97.56123399711214,2.991658002429176,26.547088993538637,60.214510005607735,187.3144909986877
1786477154.3362348,77.74827299726894,3.0082320008659735,26.923292003630195,68.3102639959543,175.9900609977194
1786477154.5401788,86.5876180032501,7.895180999184959,36.65594800258987,62.74257599579869,193.8813230008236
1786477154.7513733,99.33250700123608,6.3936660008039325,36.06176500034053,60.88160099898232,202.66953900136286
